,trend(t-5),trend(t-4),trend(t-3),trend(t-2),trend(t-1),trend(t)
2015-06-09,0.21425052615070672,0.21402343633414106,0.21328439992212145,0.21273560238168138,0.21215592664453017,0.2123740535392254
2015-06-10,0.21402343633414106,0.21328439992212145,0.21273560238168138,0.21215592664453017,0.2123740535392254,0.21266986795553403
2015-06-11,0.21328439992212145,0.21273560238168138,0.21215592664453017,0.2123740535392254,0.21266986795553403,0.2126868021406874
2015-06-12,0.21273560238168138,0.21215592664453017,0.2123740535392254,0.21266986795553403,0.2126868021406874,0.2128640924587551
2015-06-15,0.21215592664453017,0.2123740535392254,0.21266986795553403,0.2126868021406874,0.2128640924587551,0.2125692735004923
2015-06-16,0.2123740535392254,0.21266986795553403,0.2126868021406874,0.2128640924587551,0.2125692735004923,0.21320870711605766
2015-06-17,0.21266986795553403,0.2126868021406874,0.2128640924587551,0.2125692735004923,0.21320870711605766,0.21370670969995406
2015-06-18,0.2126868021406874,0.2128640924587551,0.2125692735004923,0.21320870711605766,0.21370670969995406,0.2149636692551606
2015-06-19,0.2128640924587551,0.2125692735004923,0.21320870711605766,0.21370670969995406,0.2149636692551606,0.21682918422922173
2015-06-22,0.2125692735004923,0.21320870711605766,0.21370670969995406,0.2149636692551606,0.21682918422922173,0.21812698036105585
2015-06-23,0.21320870711605766,0.21370670969995406,0.2149636692551606,0.21682918422922173,0.21812698036105585,0.21819769587689053
2015-06-24,0.21370670969995406,0.2149636692551606,0.21682918422922173,0.21812698036105585,0.21819769587689053,0.21851442631053578
2015-06-25,0.2149636692551606,0.21682918422922173,0.21812698036105585,0.21819769587689053,0.21851442631053578,0.2178739934374663
2015-06-26,0.21682918422922173,0.21812698036105585,0.21819769587689053,0.21851442631053578,0.2178739934374663,0.21668874865559817
2015-06-29,0.21812698036105585,0.21819769587689053,0.21851442631053578,0.2178739934374663,0.21668874865559817,0.21634512565688316
2015-06-30,0.21819769587689053,0.21851442631053578,0.2178739934374663,0.21668874865559817,0.21634512565688316,0.21610708200235537
2015-07-01,0.21851442631053578,0.2178739934374663,0.21668874865559817,0.21634512565688316,0.21610708200235537,0.2159019036611722
2015-07-02,0.2178739934374663,0.21668874865559817,0.21634512565688316,0.21610708200235537,0.2159019036611722,0.2165851640269608
2015-07-06,0.21668874865559817,0.21634512565688316,0.21610708200235537,0.2159019036611722,0.2165851640269608,0.21614791857898294
2015-07-07,0.21634512565688316,0.21610708200235537,0.2159019036611722,0.2165851640269608,0.21614791857898294,0.21584911778853683
2015-07-08,0.21610708200235537,0.2159019036611722,0.2165851640269608,0.21614791857898294,0.21584911778853683,0.2164268026095963
2015-07-09,0.2159019036611722,0.2165851640269608,0.21614791857898294,0.21584911778853683,0.2164268026095963,0.21837199982082073
2015-07-10,0.2165851640269608,0.21614791857898294,0.21584911778853683,0.2164268026095963,0.21837199982082073,0.2212454730581404
2015-07-13,0.21614791857898294,0.21584911778853683,0.2164268026095963,0.21837199982082073,0.2212454730581404,0.22438189159896585
2015-07-14,0.21584911778853683,0.2164268026095963,0.21837199982082073,0.2212454730581404,0.22438189159896585,0.22847447798846035
2015-07-15,0.2164268026095963,0.21837199982082073,0.2212454730581404,0.22438189159896585,0.22847447798846035,0.23240869536167394
2015-07-16,0.21837199982082073,0.2212454730581404,0.22438189159896585,0.22847447798846035,0.23240869536167394,0.23564870233059504
2015-07-17,0.2212454730581404,0.22438189159896585,0.22847447798846035,0.23240869536167394,0.23564870233059504,0.23788274195234912
2015-07-20,0.22438189159896585,0.22847447798846035,0.23240869536167394,0.23564870233059504,0.23788274195234912,0.24057992412910514
2015-07-21,0.22847447798846035,0.23240869536167394,0.23564870233059504,0.23788274195234912,0.24057992412910514,0.241247245767786
